
2024/04/20 (13:43:05) | ===> btop++ v.1.3.2
2024/04/20 (13:43:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/20 (19:12:05) | ===> btop++ v.1.3.2
2024/04/20 (19:12:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/20 (19:19:59) | ===> btop++ v.1.3.2
2024/04/20 (19:19:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/21 (16:32:11) | ===> btop++ v.1.3.2
2024/04/21 (16:32:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/22 (18:47:35) | ===> btop++ v.1.3.2
2024/04/22 (18:47:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
